id,stationName,longitude,latitude
196,Cityfront Plaza Dr & Pioneer Ct,-87.622072,41.890573
197,Michigan Ave & Madison St,-87.625125,41.882134
198,Green St & Madison St,-87.648789,41.881892
199,Wabash Ave & Grand Ave,-87.626761,41.891466
200,MLK Jr Dr & 47th St,-87.616279,41.809851
201,Indiana Ave & 40th St,-87.6216,41.82168
202,Halsted St & 18th St,-87.646277,41.857499
203,Western Ave & 21st St,-87.685838,41.854109
204,Prairie Ave & Garfield Blvd,-87.618691,41.794853
205,Paulina St & 18th St,-87.668745,41.857901
206,Halsted St & Archer Ave,-87.646795,41.847203
207,Emerald Ave & 28th St,-87.645368,41.84358
208,Ashland Ave & 21st St,-87.665897,41.85381
209,Normal Ave & Archer Ave,-87.640591,41.849527
210,Ashland Ave & Division St,-87.667747,41.90345
211,St. Clair St & Erie St,-87.622663,41.894448
212,Wells St & Hubbard St,-87.634266,41.889906
213,Leavitt St & North Ave,-87.68229,41.910153
214,Damen Ave & Grand Ave,-87.67686,41.89122
215,Damen Ave & Madison St,-87.67493,41.88137
216,California Ave & Division St,-87.697474,41.903029
217,Racine Ave (May St) & Fulton St,-87.656919,41.886926
218,Wells St & 19th St,-87.633879,41.856802
219,Damen Ave & Cortland St,-87.677335,41.915983
220,Clark St & Drummond Pl,-87.644336,41.931248
222,Milwaukee Ave & Rockwell St,-87.693033,41.920195
223,Clifton Ave & Armitage Ave,-87.656936,41.918216
224,Halsted St & Willow St,-87.648755,41.913865
225,Halsted St & Dickens Ave,-87.64883,41.919936
226,Racine Ave & Belmont Ave,-87.658865,41.939743
227,Southport Ave & Waveland Ave,-87.66394,41.94815
228,Damen Ave & Melrose Ave,-87.6785,41.9406
229,Southport Ave & Roscoe St,-87.66402,41.943739
230,Lincoln Ave & Roscoe St,-87.67097,41.94334
231,Sheridan Rd & Montrose Ave,-87.65464,41.96167
232,Pine Grove Ave & Waveland Ave,-87.646303,41.949275
233,Sangamon St & Washington Blvd (*),-87.6511,41.883165
234,Clark St & Montrose Ave,-87.666036,41.961588
236,Sedgwick St & Schiller St,-87.638566,41.907626
237,MLK Jr Dr & 29th St,-87.617,41.842052
238,Wolcott (Ravenswood) Ave & Montrose Ave (*),-87.676169,41.961406
239,Western Ave & Leland Ave,-87.688487,41.966555
240,Sheridan Rd & Irving Park Rd,-87.654406,41.954245
241,Morgan St & Polk St,-87.65103,41.871737
242,Damen Ave & Leland Ave,-87.679028,41.967094
243,Lincoln Ave & Sunnyside Ave,-87.684781,41.963004
244,Ravenswood Ave & Irving Park Rd,-87.67393,41.95469
245,Clarendon Ave & Junior Ter,-87.649603,41.961004
246,Ashland Ave & Belle Plaine Ave,-87.668835,41.956057
247,Shore Dr & 55th St,-87.580715,41.795212
248,Woodlawn Ave & 55th St,-87.596471,41.795264
249,Montrose Harbor,-87.638181,41.963982
250,Ashland Ave & Wellington Ave,-87.669807,41.936083
251,Clarendon Ave & Leland Ave,-87.650001,41.967968
252,Greenwood Ave & 47th St,-87.599383,41.809835
253,Winthrop Ave & Lawrence Ave,-87.657659,41.968812
254,Pine Grove Ave & Irving Park Rd,-87.648043,41.954383
255,Indiana Ave & Roosevelt Rd,-87.623041,41.867888
256,Broadway & Sheridan Rd,-87.649993,41.952833
257,Lincoln Ave & Waveland Ave,-87.675278,41.948797
258,Logan Blvd & Elston Ave,-87.684158,41.929465
259,California Ave & Francis Pl,-87.696972,41.918121
260,Kedzie Ave & Milwaukee Ave,-87.707857,41.929567
261,Hermitage Ave & Polk St,-87.669886,41.871514
262,Halsted St & 37th St,-87.64572,41.827059
263,Rhodes Ave & 32nd St,-87.613533,41.836208
264,Stetson Ave & South Water St,-87.62232,41.886835
265,Cottage Grove Ave & Oakwood Blvd,-87.6071,41.822985
267,Lake Park Ave & 47th St,-87.591875,41.809443
268,Lake Shore Dr & North Blvd,-87.626804,41.911722
270,Stony Island Ave & 75th St,-87.586882871,41.7586696704
271,Cottage Grove Ave & 43rd St,-87.606582,41.816499
272,Indiana Ave & 31st St,-87.621857,41.838842
273,Michigan Ave & 18th St,-87.62455,41.857813
274,Racine Ave & 15th St,-87.656625,41.861267
275,Ashland Ave & 13th St,-87.666507,41.865234
276,California Ave & North Ave,-87.6972,41.91044
277,Ashland Ave & Grand Ave,-87.666611,41.891072
278,Wallace St & 35th St,-87.64129,41.830629
279,Halsted St & 35th St (*),-87.647172,41.830661
280,Morgan St & 31st St,-87.65114,41.8378
281,Western Ave & 24th St,-87.685109,41.84847
282,Halsted St & Maxwell St,-87.647071,41.864883
283,LaSalle St & Jackson Blvd,-87.631929,41.878166
284,Michigan Ave & Jackson Blvd,-87.62408,41.87785
285,Wood St & Hubbard St,-87.671956,41.889587
286,Franklin St & Quincy St,-87.634793,41.878724
287,Franklin St & Monroe St,-87.635185,41.880317
288,Larrabee St & Armitage Ave,-87.643749,41.918084
289,Wells St & Concord Ln,-87.634656,41.912133
290,Kedzie Ave & Palmer Ct,-87.707322,41.921525
291,Wells St & Evergreen Ave,-87.63483,41.906724
292,Southport Ave & Clark St,-87.664199,41.957081
293,Broadway & Wilson Ave,-87.658139,41.965221
294,Broadway & Berwyn Ave,-87.659753,41.978353
295,Broadway & Argyle St,-87.65966,41.973815
296,Broadway & Belmont Ave,-87.645451,41.940106
297,Paulina St & Montrose Ave,-87.671387,41.961507
298,Lincoln Ave & Belle Plaine Ave,-87.679259,41.955927
299,Halsted St & Roscoe St,-87.64895,41.94367
300,Broadway & Barry Ave,-87.644095,41.937725
301,Clark St & Schiller St,-87.631501,41.907993
302,Sheffield Ave & Wrightwood Ave,-87.653833,41.928712
303,Broadway & Cornelia Ave,-87.646439,41.945529
304,Broadway & Waveland Ave,-87.648636,41.949074
305,Western Ave & Division St,-87.687275,41.902893
306,Sheridan Rd & Buena Ave,-87.654966,41.958494
307,Southport Ave & Clybourn Ave,-87.663712,41.920771
308,Seeley Ave & Roscoe St,-87.679618,41.943403
309,Leavitt St & Armitage Ave,-87.682437,41.917805
310,Damen Ave & Charleston St,-87.677855,41.920082
311,Leavitt St & Lawrence Ave,-87.684001,41.968885
312,Clarendon Ave & Gordon Ter,-87.649519,41.957879
